incoming,outgoing,incoming_eta,outgoing_eta,incoming_k,outgoing_k,incoming_omega_prime,outgoing_omega_prime,incoming_vg,outgoing_vg,flux_fraction,S_abs
L_in_0,L_out_0,1,1,1.50129082846,-0.869353386006,1.45444657104,0.860237568927,0.655947898722,-1.21921823978,0.999999941065,0.999999970532
L_in_0,R_out_0,1,-1,1.50129082846,-11.4192934908,1.45444657104,-13.0895916165,0.655947898722,3.61335030284,5.8016560495e-08,0.000240866270978
L_in_0,R_out_1,1,1,1.50129082846,11.9686772606,1.45444657104,15.9274904381,0.655947898722,4.23883379468,9.18795032532e-10,3.03116319675e-05
R_in_0,L_out_0,-1,1,-2.9775406067,-0.869353386006,-2.61604353808,0.860237568927,-0.600975542195,-1.21921823978,5.22170821253e-06,0.00228510573334
R_in_0,R_out_0,-1,-1,-2.9775406067,-11.4192934908,-2.61604353808,-13.0895916165,-0.600975542195,3.61335030284,0.99999477829,0.999997389141
R_in_0,R_out_1,-1,1,-2.9775406067,11.9686772606,-2.61604353808,15.9274904381,-0.600975542195,4.23883379468,2.15813515171e-12,1.4690592744e-06
R_in_1,L_out_0,1,1,-0.481860440951,-0.869353386006,0.480307014145,0.860237568927,-2.23101470221,-1.21921823978,0.999993828973,0.999996914482
R_in_1,R_out_0,1,-1,-0.481860440951,-11.4192934908,0.480307014145,-13.0895916165,-2.23101470221,3.61335030284,6.15644066737e-06,0.0024812175776
R_in_1,R_out_1,1,1,-0.481860440951,11.9686772606,0.480307014145,15.9274904381,-2.23101470221,4.23883379468,1.45861091957e-08,0.0001207729655
