width,kappa_scale,omega0,incident_norm_ref,L_out_0_eta,L_out_0_peak_norm,L_out_0_peak_t,L_out_0_ratio,R_out_0_eta,R_out_0_peak_norm,R_out_0_peak_t,R_out_0_ratio,R_out_1_eta,R_out_1_peak_norm,R_out_1_peak_t,R_out_1_ratio
3.0,0.16666666666666666,1.0781435730559008,7.560338023893061,1.0,0.041656817261346984,21.42110571192812,0.005509914653246754,-1.0,-0.0002172810350664313,21.396139388254543,-2.8739592645164074e-05,1.0,0.007617049396575056,21.496004682948847,0.001007501168929586
2.0,0.25,1.0782749545188877,7.40382857041884,1.0,-0.09828115230733324,20.94674556213018,-0.013274368979855162,-1.0,-6.935417244964492e-05,21.496004682948847,-9.367339044928954e-06,1.0,0.014429434497833578,21.496004682948847,0.0019489152619611902
1.5,0.3333333333333333,1.0782761900819307,7.4206585353796575,1.0,-0.08358077952476577,20.472385412332237,-0.011263256370883476,-1.0,-6.15810081871143e-05,21.496004682948847,-8.298590737400595e-06,1.0,0.046793501322885095,21.496004682948847,0.006305842143225774
1.0,0.5,1.078276201809892,7.4343807875633505,1.0,0.04538486597382642,21.496004682948847,0.006104727114563296,-1.0,-0.00016298284703847302,21.12150982784521,-2.192285432986159e-05,1.0,0.16916643461058942,21.496004682948847,0.02275460989213527
0.75,0.6666666666666666,1.078276201810929,7.437788593580104,1.0,0.2044855402137998,21.471038359275273,0.027492787357562252,-1.0,-0.00034091303207102924,20.69708232539442,-4.583526780598294e-05,1.0,0.27099405019839323,21.496004682948847,0.03643476105684163
0.5,1.0,1.078276201810929,7.4414340924838545,1.0,1.9003241578843164,21.446072035601695,0.25537068987867806,-1.0,-0.013280832854939275,21.29627409356024,-0.0017847141679791865,1.0,0.4259094355667584,21.42110571192812,0.05723485960816934
